Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"0,00303718710195896","0,000241641070373277","0,0233597079676121",0,0,0,"0,476441238351147","0,000527064543211955","3,38969605841737E-08","-4,59325964242475E-06","0,000243496413695201","3,12703631411997E-08","0,000620291787944453",0,0,0,0,0,0,package://URDF_Microproyecto_9/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://URDF_Microproyecto_9/meshes/base_link.STL,,Chasis-1;soporte bateria-1;acople para PCB-1;Cubierta motor-3;Micro Metal Gear Motor-2;Cubierta motor-4;Micro Metal Gear Motor-1;porta_camara-1;tapa protectora para micro-1;Rueda_Castor-1,Origen_,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Rueda_izq,"7,07458613047919E-05","3,53647017556566E-05","-0,00063149894186489",0,0,0,"0,0157184722885494","1,6900538447052E-06","2,14652112438886E-10","2,40582412374417E-10","1,69132187199093E-06","1,46085961024242E-09","2,1652262699732E-06",0,0,0,0,0,0,package://URDF_Microproyecto_9/meshes/Rueda_izq.STL,"0,298039215686275","0,298039215686275","0,298039215686275",1,0,0,0,0,0,0,package://URDF_Microproyecto_9/meshes/Rueda_izq.STL,,Ensamblaje llanta-2/llanta1-1;Ensamblaje llanta-2/llanta xD-1,Sistema de coordenadas rueda izq,Eje_izq,joint_izq,continuous,"-0,033127","0,040636","-0,0020475","1,5708",0,0,base_link,0,0,1,,,,,,,,,,,,
Rueda_der,"7,90235797321903E-05","3,30346308194743E-06","0,000631498941864886",0,0,0,"0,0157184722885494","1,69053286024459E-06","-6,5117157234606E-10","-9,17714123617357E-10","1,69084285645155E-06","1,1618052699549E-09","2,1652262699732E-06",0,0,0,0,0,0,package://URDF_Microproyecto_9/meshes/Rueda_der.STL,"0,298039215686275","0,298039215686275","0,298039215686275",1,0,0,0,0,0,0,package://URDF_Microproyecto_9/meshes/Rueda_der.STL,,Ensamblaje llanta-1/llanta1-1;Ensamblaje llanta-1/llanta xD-1,Sistema de coordenadas rueda der,Eje_der,joint_der,continuous,"-0,034252","-0,040164","-0,0010202","1,5708",0,0,base_link,0,0,-1,,,,,,,,,,,,
Cam_link,"-0,00761657670891421","-0,00747059469769067","1,39730355321818E-05",0,0,0,"0,00241389293196676","2,20027071419733E-07","-7,73419619969269E-12","-6,16071045877555E-11","7,82512589004426E-08","6,02574141068783E-10","1,45696619419382E-07",0,0,0,0,0,0,package://URDF_Microproyecto_9/meshes/Cam_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://URDF_Microproyecto_9/meshes/Cam_link.STL,,User Library-ESP32-cam-1,Sistema de coordenadas cam,,joint_cam,fixed,"0,04341","0,00043637","0,0255","1,5708",0,0,base_link,0,0,0,,,,,,,,,,,,
